nachname,partei,start_year,group,vorname,total_amount
Aken,Die Linke,Nein,linke,Neinn van,1
Albani,CDU,Nein,cdu,Stephan,1
Albsteiger,CDU,Nein,cdu,Katrin,1
Alpers,Die Linke,Nein,linke,Agnes,1
Altmaier,CDU,Nein,cdu,Peter,1
Amtsberg,Bündnis 90/Die Grünen,Nein,gruene,Luise,1
Andreae,Bündnis 90/Die Grünen,Nein,gruene,Kerstin,1
Annen,SPD,Nein,spd,Niels,1
Arndt-Brauer,SPD,Nein,spd,Ingrid,1
Arnold,SPD,Nein,spd,Rainer,1
Auernhammer,CDU,Nein,cdu,Artur,1
Baehrens,SPD,Nein,spd,Heike,1
Baerbock,Bündnis 90/Die Grünen,Nein,gruene,Annalena Charlotte Alma,1
Bahr,SPD,Nein,spd,Ulrike Renate Martina,1
Bär,CDU,Nein,cdu,Dorothee,1
Barchmann,SPD,Nein,spd,Heinz-Joachim,1
Bareiß,CDU,Nein,cdu,Thomas,1
Barley,SPD,Ja,spd,Dr. Katarina,1
Barnett,SPD,Nein,spd,Doris,1
Bartels,SPD,Ja,spd,Dr. Hans-Peter,1
Barthel,SPD,Nein,spd,Klaus,1
Barthle,CDU,Nein,cdu,Norbert,1
Bartke,SPD,Ja,spd,Dr. Matthias,1
Bartol,SPD,Nein,spd,Sören,1
Bartsch,Die Linke,Ja,linke,Dr. Dietmar,1
Bartz,CDU,Nein,cdu,Julia,1
Bas,SPD,Nein,spd,Bärbel,1
Bätzing-Lichtenthäler,SPD,Nein,spd,Sabine,1
Baumann,CDU,Nein,cdu,Günter,1
Beck,Bündnis 90/Die Grünen,Nein,gruene,Marieluise,1
Beck,Bündnis 90/Die Grünen,Nein,gruene,Volker,1
Becker,SPD,Nein,spd,Dirk,1
Beckmeyer,SPD,Nein,spd,Uwe Karl,1
Beermann,CDU,Nein,cdu,Maik,1
Behrens,Die Linke,Nein,linke,Herbert,1
Behrens,CDU,Nein,cdu,Manfred,1
Bellmann,CDU,Nein,cdu,Veronika Maria,1
Benning,CDU,Nein,cdu,Sybille,1
Berghegger,CDU,Ja,cdu,Dr. André,1
Bergner,CDU,Ja,cdu,Dr. Christoph Georg,1
Bertram,CDU,Nein,cdu,Ute,1
Beyer,CDU,Nein,cdu,Peter,1
Bilger,CDU,Nein,cdu,Steffen,1
Binder,Die Linke,Nein,linke,Karin,1
Binding,SPD,Nein,spd,Lothar,1
Binninger,CDU,Nein,cdu,Clemens,1
Birkwald,Die Linke,Nein,linke,Matthias W.,1
Bleser,CDU,Nein,cdu,Peter,1
Blienert,SPD,Nein,spd,Burkhard,1
Bluhm,Die Linke,Nein,linke,Heidrun,1
Böhmer,CDU,Ja,cdu,Prof. Dr. Maria,1
Bosbach,CDU,Nein,cdu,Wolfgang,1
Brackmann,CDU,Nein,cdu,Norbert,1
Brähmig,CDU,Nein,cdu,Klaus,1
Brand,CDU,Nein,cdu,Michael,1
Brandl,CDU,Ja,cdu,Dr. Reinhard,1
Brandt,CDU,Nein,cdu,Helmut,1
Brantner,Bündnis 90/Die Grünen,Ja,gruene,Dr. Franziska,1
Brase,SPD,Nein,spd,Willi,1
Brauksiepe,CDU,Ja,cdu,Dr. Ralf,1
Braun,CDU,Ja,cdu,Dr. Helge Reinhold,1
Brehmer,CDU,Nein,cdu,Heike,1
Brinkhaus,CDU,Nein,cdu,Ralph,1
Brugger,Bündnis 90/Die Grünen,Nein,gruene,Agnes,1
Brunner,SPD,Ja,spd,Dr. Karl-Heinz,1
Buchholz,Die Linke,Nein,linke,Christine,1
Bulling-Schröter,Die Linke,Nein,linke,Eva,1
Bulmahn,SPD,Nein,spd,Edelgard,1
Bülow,SPD,Nein,spd,Marco,1
Burkert,SPD,Nein,spd,Martin,1
Caesar,CDU,Nein,cdu,Cajus Julius,1
Castellucci,SPD,Ja,spd,Prof. Dr. Lars,1
Claus,Die Linke,Nein,linke,Roland,1
Connemann,CDU,Nein,cdu,Gitta,1
Crone,SPD,Nein,spd,Petra,1
Daldrup,SPD,Nein,spd,Bernhard,1
Dağdelen,Die Linke,Nein,linke,Sevim,1
Dehm-Desoi,Die Linke,Ja,linke,Dr. Diether,1
Deligöz,Bündnis 90/Die Grünen,Nein,gruene,Ekin,1
De Ridder,SPD,Ja,spd,Dr. rer. pol. Daniela,1
de Vries,CDU,Nein,cdu,Kees Cornelis,1
Diaby,SPD,Ja,spd,Dr. rer. nat. Karamba,1
Dinges-Dierig,CDU,Nein,cdu,Alexandra,1
Dittmar,SPD,Nein,spd,Sabine,1
Dobrindt,CDU,Nein,cdu,Alexander,1
Donth,CDU,Nein,cdu,Michael,1
Dörflinger,CDU,Nein,cdu,Thomas,1
Dörmann,SPD,Nein,spd,Martin,1
Dörner,Bündnis 90/Die Grünen,Nein,gruene,KatNein,1
Dött,CDU,Nein,cdu,Marie-Luise,1
Drobinski-Weiß,SPD,Nein,spd,Elvira,1
Dröge,Bündnis 90/Die Grünen,Nein,gruene,Katharina,1
Durz,CDU,Nein,cdu,Hansjörg,1
Ebner,Bündnis 90/Die Grünen,Nein,gruene,Harald,1
Eckenbach,CDU,Nein,cdu,Jutta,1
Edathy,SPD,Nein,spd,Sebastian,1
Ehrmann,SPD,Nein,spd,Siegmund,1
Engelmeier-Heite,SPD,Nein,spd,Michaela Barbara,1
Erler,SPD,Ja,spd,Dr. h.c. Gernot,1
Ernst,Die Linke,Nein,linke,Klaus,1
Ernstberger,SPD,Nein,spd,Petra,1
Esken,SPD,Nein,spd,Saskia,1
Evers-Meyer,SPD,Nein,spd,Karin,1
Fabritius,CDU,Ja,cdu,Dr. Bernd,1
Färber,CDU,Nein,cdu,Hermann,1
Fechner,SPD,Ja,spd,Dr. Johannes,1
Feiler,CDU,Nein,cdu,Uwe Wolfgang Werner,1
Feist,CDU,Ja,cdu,Dr. Thomas Wolfgang,1
Felgentreu,SPD,Ja,spd,Dr. Fritz,1
Ferlemann,CDU,Nein,cdu,Enak,1
Ferner,SPD,Nein,spd,Elke,1
Finckh-Krämer,SPD,Ja,spd,Dr. rer. nat. Ute,1
Fischbach,CDU,Nein,cdu,Ingrid Marianne,1
Fischer,CDU,Nein,cdu,Axel E.,1
Fischer,CDU,Nein,cdu,Dirk Erik,1
Flachsbarth,CDU,Ja,cdu,Dr. Maria,1
Flisek,SPD,Nein,spd,Christian,1
Flosbach,CDU,Nein,cdu,Klaus-Peter,1
Fograscher,SPD,Nein,spd,Gabriele,1
Franke,SPD,Ja,spd,Dr. Edgar Konrad Helmut,1
Freese,SPD,Nein,spd,Ulrich Roland,1
Frei,CDU,Nein,cdu,Thorsten,1
Freitag,SPD,Nein,spd,Dagmar,1
Freudenstein,CDU,Ja,cdu,Dr. Astrid,1
Friedrich,CDU,Ja,cdu,Dr. Hans-Peter,1
Frieser,CDU,Nein,cdu,Michael Edwin,1
Fuchs,CDU,Ja,cdu,Dr. Michael,1
Fuchtel,CDU,Nein,cdu,Hans-Joachim,1
Funk,CDU,Nein,cdu,Alexander,1
Gabriel,SPD,Nein,spd,Sigmar,1
Gädechens,CDU,Nein,cdu,Ingo,1
Gambke,Bündnis 90/Die Grünen,Ja,gruene,Dr. Thomas,1
Gastel,Bündnis 90/Die Grünen,Nein,gruene,Matthias,1
Gauweiler,CDU,Ja,cdu,Dr. Peter,1
Gebhart,CDU,Ja,cdu,Dr. Thomas,1
Gehrcke-Reymann,Die Linke,Nein,linke,Wolfgang,1
Gehring,Bündnis 90/Die Grünen,Nein,gruene,Kai,1
Gerdes,SPD,Nein,spd,Michael,1
Gerig,CDU,Nein,cdu,Alois,1
Gerster,SPD,Nein,spd,Martin,1
Gienger,CDU,Nein,cdu,Eberhard,1
Giousouf,CDU,Nein,cdu,Cemile,1
Gleicke,SPD,Nein,spd,Iris,1
Gohlke,Die Linke,Nein,linke,Nicole,1
Golze,Die Linke,Nein,linke,Diana,1
Göppel,CDU,Nein,cdu,Josef,1
Göring-Eckardt,Bündnis 90/Die Grünen,Nein,gruene,Katrin,1
Gottschalck,SPD,Nein,spd,Ulrike,1
Griese,SPD,Nein,spd,Kerstin,1
Grindel,CDU,Nein,cdu,Reinhard,1
Groden-Kranich,CDU,Nein,cdu,Ursula,1
Gröhe,CDU,Nein,cdu,Hermann,1
Gröhler,CDU,Nein,cdu,Klaus Dieter,1
Groß,SPD,Nein,spd,Michael Peter,1
Grosse-Brömer,CDU,Nein,cdu,Michael,1
Grotelüschen,CDU,Nein,cdu,Astrid,1
Groth,Die Linke,Nein,linke,Annette,1
Grötsch,SPD,Nein,spd,Uli,1
Grübel,CDU,Nein,cdu,Markus,1
Grund,CDU,Nein,cdu,Manfred,1
Grundmann,CDU,Nein,cdu,Oliver,1
Grütters,CDU,Nein,cdu,Monika,1
Gundelach,CDU,Ja,cdu,Dr. Herlind,1
Gunkel,SPD,Nein,spd,Wolfgang,1
Güntzler,CDU,Nein,cdu,Fritz,1
Gutting,CDU,Nein,cdu,Olav,1
Gysi,Die Linke,Ja,linke,Dr. Gregor,1
Haase,CDU,Nein,cdu,Christian,1
Hagedorn,SPD,Nein,spd,Bettina,1
Hagl-Kehl,SPD,Nein,spd,Rita,1
Hahn,Die Linke,Ja,linke,Dr. André Peter,1
Hahn,CDU,Nein,cdu,Florian,1
Hajduk,Bündnis 90/Die Grünen,Nein,gruene,AnNein,1
Hakverdi,SPD,Nein,spd,Metin,1
Hampel,SPD,Nein,spd,Ulrich,1
Hänsel,Die Linke,Nein,linke,Heike,1
Harbarth,CDU,Ja,cdu,Dr. Stephan,1
Hardt,CDU,Nein,cdu,Jürgen,1
Hartmann,SPD,Nein,spd,Michael,1
Hartmann,SPD,Nein,spd,Sebastian,1
Hasselfeldt,CDU,Nein,cdu,Gerda,1
Haßelmann,Bündnis 90/Die Grünen,Nein,gruene,Britta,1
Hauer,CDU,Nein,cdu,Matthias,1
Hauptmann,CDU,Nein,cdu,Mark,1
Heck,CDU,Ja,cdu,Dr. Stefan,1
Heidenblut,SPD,Nein,spd,Dirk,1
Heider,CDU,Ja,cdu,Dr. Matthias,1
Heiderich,CDU,Nein,cdu,Helmut,1
Heil,SPD,Nein,spd,Hubertus,1
Heil,CDU,Nein,cdu,Mechthild,1
Hein,Die Linke,Ja,linke,Dr. Rosemarie,1
Heinrich,CDU,Nein,cdu,Frank,1
Heinrich,SPD,Nein,spd,Gabriela,1
Held,SPD,Nein,spd,Marcus,1
Helfrich,CDU,Nein,cdu,Mark,1
Heller,CDU,Nein,cdu,Uda,1
Hellmich,SPD,Nein,spd,Wolfgang,1
Hellmuth,CDU,Nein,cdu,Jörg,1
Hendricks,SPD,Ja,spd,Dr. Barbara,1
Henke,CDU,Nein,cdu,Rudolf,1
Henn,SPD,Nein,spd,Heidtrud,1
Hennrich,CDU,Nein,cdu,Michael,1
Herzog,SPD,Nein,spd,Gustav,1
Heveling,CDU,Nein,cdu,Ansgar,1
Hiller-Ohm,SPD,Nein,spd,Gabriele,1
Hintze,CDU,Nein,cdu,Peter,1
Hinz,SPD,Nein,spd,Petra,1
Hinz,Bündnis 90/Die Grünen,Nein,gruene,Priska,1
Hirte,CDU,Nein,cdu,Christian,1
Hirte,CDU,Ja,cdu,Prof. Dr. iur. Heribert,1
Hitschler,SPD,Nein,spd,Thomas,1
Hochbaum,CDU,Nein,cdu,Robert,1
Hoffmann,CDU,Nein,cdu,Alexander,1
Hofreiter,Bündnis 90/Die Grünen,Ja,gruene,Dr. Anton,1
Höger,Die Linke,Nein,linke,Inge Dora Minna,1
Högl,SPD,Ja,spd,Dr. Eva,1
Höhn,Bündnis 90/Die Grünen,Nein,gruene,Bärbel,1
Holmeier,CDU,Nein,cdu,Karl,1
Holzenkamp,CDU,Nein,cdu,Franz-Josef,1
Hoppenstedt,CDU,Ja,cdu,Dr. Hendrik,1
Horb,CDU,Nein,cdu,Margaret,1
Hornhues,CDU,Nein,cdu,Bettina,1
Huber,CDU,Nein,cdu,Karl-Heinz (Charles M.),1
Hübinger,CDU,Nein,cdu,Anette,1
Hunko,Die Linke,Nein,linke,Andrej,1
Hupach,Die Linke,Nein,linke,Sigrid,1
Hüppe,CDU,Nein,cdu,Hubert Wilhelm,1
Ilgen,SPD,Nein,spd,Matthias,1
Irlstorfer,CDU,Nein,cdu,Erich,1
Neinnecek,Bündnis 90/Die Grünen,Nein,gruene,Dieter,1
Neinntz,SPD,Nein,spd,Christina,1
Neinrzombek,CDU,Nein,cdu,Thomas,1
Jelpke,Die Linke,Nein,linke,Ulla,1
Jörrißen,CDU,Nein,cdu,Sylvia,1
Jost,SPD,Nein,spd,Reinhold,1
Jung,CDU,Nein,cdu,Andreas,1
Jung,CDU,Ja,cdu,Dr. Franz Josef Friedrich,1
Jung,CDU,Nein,cdu,Xaver,1
Junge,SPD,Nein,spd,Frank Michael,1
Juratovic,SPD,Nein,spd,Josip,1
Jurk,SPD,Nein,spd,Thomas,1
Jüttner,CDU,Ja,cdu,Dr. Egon,1
Kaczmarek,SPD,Nein,spd,Oliver,1
Kahrs,SPD,Nein,spd,Johannes,1
Kalb,CDU,Nein,cdu,Bartholomäus,1
Kammer,CDU,Nein,cdu,Hans-Werner,1
Kampeter,CDU,Nein,cdu,Steffen,1
Kampmann,SPD,Nein,spd,Christina,1
Kanitz,CDU,Nein,cdu,Steffen,1
Kapschack,SPD,Nein,spd,Ralf,1
Karawanskij,Die Linke,Nein,linke,Susanna,1
Karl,CDU,Nein,cdu,Alois,1
Karliczek,CDU,Nein,cdu,AnNein,1
Kassner,Die Linke,Nein,linke,Kerstin,1
Kaster,CDU,Nein,cdu,Bernhard,1
Katzmarek,SPD,Nein,spd,Gabriele,1
Kauder,CDU,Nein,cdu,Volker,1
Kaufmann,CDU,Ja,cdu,Dr. Stefan,1
Kekeritz,Bündnis 90/Die Grünen,Nein,gruene,Uwe,1
Kelber,SPD,Nein,spd,Ulrich Wolfgang,1
Kermer,SPD,Nein,spd,Marina,1
Keul,Bündnis 90/Die Grünen,Nein,gruene,KatNein,1
Kiesewetter,CDU,Nein,cdu,Roderich,1
Kindler,Bündnis 90/Die Grünen,Nein,gruene,Sven-Christian,1
Kippels,CDU,Ja,cdu,Dr. Georg,1
Kipping,Die Linke,Nein,linke,KatNein,1
Kiziltepe,SPD,Nein,spd,Cansel,1
Klare,SPD,Nein,spd,Arno,1
Klein,CDU,Nein,cdu,Volkmar,1
Klein-Schmeink,Bündnis 90/Die Grünen,Nein,gruene,Maria Anna,1
Klimke,CDU,Nein,cdu,Jürgen,1
Klingbeil,SPD,Nein,spd,Lars,1
Knoerig,CDU,Nein,cdu,Axel,1
Koenigs,Bündnis 90/Die Grünen,Nein,gruene,Tom,1
Koeppen,CDU,Nein,cdu,Jens,1
Kofler,SPD,Ja,spd,Dr. Bärbel,1
Kolbe,SPD,Nein,spd,Daniela,1
Kömpel,SPD,Nein,spd,Birgit,1
Koob,CDU,Nein,cdu,Markus BenNeinmin,1
Körber,CDU,Nein,cdu,Carsten,1
Korte,Die Linke,Nein,linke,Neinn,1
Koschyk,CDU,Nein,cdu,Hartmut,1
Kotting-Uhl,Bündnis 90/Die Grünen,Nein,gruene,Sylvia,1
Kovac,CDU,Nein,cdu,Kordula,1
Kramme,SPD,Nein,spd,Anette,1
Krellmann,Die Linke,Nein,linke,Jutta,1
Kretschmer,CDU,Nein,cdu,Michael,1
Krichbaum,CDU,Nein,cdu,Gunther,1
Krings,CDU,Ja,cdu,Dr. Günter,1
Krischer,Bündnis 90/Die Grünen,Nein,gruene,Oliver,1
Krüger,SPD,Ja,spd,Dr. Hans-Ulrich,1
Kruse,CDU,Nein,cdu,Rüdiger,1
Kudla,CDU,Nein,cdu,Bettina Irene,1
Kühn,Bündnis 90/Die Grünen,Nein,gruene,Christian,1
Kühn,Bündnis 90/Die Grünen,Nein,gruene,Stephan,1
Kühne,CDU,Ja,cdu,Dr. Roy,1
Kühn-Mengel,SPD,Nein,spd,Helga,1
Künast,Bündnis 90/Die Grünen,Nein,gruene,Renate,1
Kunert,Die Linke,Nein,linke,Katrin,1
Kurth,Bündnis 90/Die Grünen,Nein,gruene,Markus,1
Lach,CDU,Nein,cdu,Günter,1
Lagosky,CDU,Nein,cdu,Uwe,1
Lambrecht,SPD,Nein,spd,Christine,1
Lamers,CDU,Ja,cdu,Dr. Dr. h.c. Karl A.,1
Lämmel,CDU,Nein,cdu,Andreas Gottfried,1
Lammert,CDU,Ja,cdu,Prof. Dr. Norbert,1
Landgraf,CDU,Nein,cdu,Katharina,1
Lange,SPD,Nein,spd,Christian,1
Lange,CDU,Nein,cdu,Ulrich,1
Lanzinger,CDU,Nein,cdu,Barbara,1
Launert,CDU,Nein,cdu,Silke,1
Lauterbach,SPD,Ja,spd,Dr. Karl,1
Lay,Die Linke,Nein,linke,Caren,1
Lazar,Bündnis 90/Die Grünen,Nein,gruene,Monika,1
Lehrieder,CDU,Nein,cdu,Paul,1
Leidig,Die Linke,Nein,linke,Sabine,1
Leikert,CDU,Ja,cdu,Dr. KatNein Isabel,1
Lemke,Bündnis 90/Die Grünen,Nein,gruene,Steffi,1
Lemme,SPD,Nein,spd,Steffen-Claudio,1
Lengsfeld,CDU,Ja,cdu,Dr. Philipp,1
Lenkert,Die Linke,Nein,linke,Ralph,1
Lenz,CDU,Ja,cdu,Dr. Andreas,1
Lerchenfeld,CDU,Nein,cdu,Philipp Graf von und zu,1
Leutert,Die Linke,Nein,linke,Michael Gerhard,1
Leyen,CDU,Ja,cdu,Dr. Ursula von der,1
Lezius,CDU,Nein,cdu,Antje,1
Liebich,Die Linke,Nein,linke,Stefan,1
Liebing,CDU,Nein,cdu,Ingbert,1
Lietz,CDU,Nein,cdu,Matthias,1
Lindholz,CDU,Nein,cdu,Andrea,1
Lindner,Bündnis 90/Die Grünen,Ja,gruene,Dr. Tobias,1
Linnemann,CDU,Ja,cdu,Dr. Carsten,1
Lips,CDU,Nein,cdu,Patricia,1
Lischka,SPD,Nein,spd,Burkhard,1
Lorenz,CDU,Nein,cdu,Wilfried,1
Lösekrug-Möller,SPD,Nein,spd,Gabriele,1
Lotze,SPD,Nein,spd,Hiltrud,1
Lötzsch,Die Linke,Ja,linke,Dr. Gesine,1
Lücking-Michel,CDU,Ja,cdu,Dr. Claudia,1
Luczak,CDU,Ja,cdu,Dr. Neinn-Marco,1
Ludwig,CDU,Nein,cdu,Daniela,1
Lühmann,SPD,Nein,spd,Kirsten,1
Lutze,Die Linke,Nein,linke,Thomas,1
Maag,CDU,Nein,cdu,Karin,1
Magwas,CDU,Nein,cdu,Yvonne,1
Mahlberg,CDU,Nein,cdu,Thomas,1
Maisch,Bündnis 90/Die Grünen,Nein,gruene,Nicole,1
Maizière,CDU,Ja,cdu,Dr. Thomas de,1
Malecha-Nissen,SPD,Ja,spd,Dr. Birgit,1
Manderla,CDU,Nein,cdu,Gisela,1
Marks,SPD,Nein,spd,Caren,1
Marschall von,CDU,Nein,cdu,Matern,1
Marwitz,CDU,Nein,cdu,Hans-Georg von der,1
Mast,SPD,Nein,spd,KatNein,1
Mattfeldt,CDU,Nein,cdu,Andreas,1
Mattheis,SPD,Nein,spd,Hildegard,1
Mayer,CDU,Nein,cdu,Stephan Ernst Johann,1
Meier,CDU,Nein,cdu,Reiner,1
Meister,CDU,Ja,cdu,Dr. Michael Günther,1
Meiwald,Bündnis 90/Die Grünen,Nein,gruene,Peter,1
Merkel,CDU,Ja,cdu,Dr. Angela,1
Metzler,CDU,Nein,cdu,Neinn,1
Michalk,CDU,Nein,cdu,Maria Ludwiga,1
Michelbach,CDU,Ja,cdu,Dr. h. c. Hans,1
Middelberg,CDU,Ja,cdu,Dr. Mathias,1
Miersch,SPD,Ja,spd,Dr. Matthias,1
Mihalic,Bündnis 90/Die Grünen,Nein,gruene,Irene,1
Mindrup,SPD,Nein,spd,Klaus,1
Mißfelder,CDU,Nein,cdu,Philipp,1
Mittag,SPD,Nein,spd,Susanne,1
Möhring,Die Linke,Nein,linke,Cornelia,1
Monstadt,CDU,Nein,cdu,Dietrich,1
Möring,CDU,Nein,cdu,Karsten,1
Mortler,CDU,Nein,cdu,Marlene,1
Motschmann,CDU,Nein,cdu,Elisabeth,1
Movassat,Die Linke,Nein,linke,Niema,1
Müller,SPD,Nein,spd,Bettina,1
Müller,CDU,Nein,cdu,Carsten,1
Müller,CDU,Ja,cdu,Dr. Gerd,1
Müller,CDU,Nein,cdu,Stefan,1
Müller-Gemmeke,Bündnis 90/Die Grünen,Nein,gruene,Beate,1
Müntefering,SPD,Nein,spd,Michelle,1
Murmann,CDU,Ja,cdu,Dr. Philipp,1
Mutlu,Bündnis 90/Die Grünen,Nein,gruene,Özcan,1
Mützenich,SPD,Ja,spd,Dr. Rolf,1
Nahles,SPD,Nein,spd,Andrea,1
Neu,Die Linke,Ja,linke,Dr. Alexander Soranto,1
Nick,CDU,Ja,cdu,Dr. Andreas,1
Nietan,SPD,Nein,spd,Dietmar Heinrich,1
Nissen,SPD,Nein,spd,Ulli,1
Noll,CDU,Nein,cdu,Michaela,1
Nord,Die Linke,Nein,linke,Thomas,1
Notz,Bündnis 90/Die Grünen,Ja,gruene,Dr. Konstantin von,1
Nouripour,Bündnis 90/Die Grünen,Nein,gruene,Omid,1
Nowak,CDU,Nein,cdu,Helmut Fedor,1
Nüßlein,CDU,Ja,cdu,Dr. jur. Georg,1
Oellers,CDU,Nein,cdu,Wilfried,1
Oppermann,SPD,Nein,spd,Thomas,1
Oßner,CDU,Nein,cdu,Florian,1
Ostendorff,Bündnis 90/Die Grünen,Nein,gruene,Friedrich,1
Ostermann,CDU,Ja,cdu,Dr. Tim,1
Otte,CDU,Nein,cdu,Henning,1
Özdemir,Bündnis 90/Die Grünen,Nein,gruene,Cem,1
Özdemir,SPD,Nein,spd,Mahmut,1
Özoğuz,SPD,Nein,spd,Aydan,1
Pahlmann,CDU,Nein,cdu,Ingrid,1
Pantel,CDU,Nein,cdu,Sylvia,1
Paschke,SPD,Nein,spd,Markus,1
Patzelt,CDU,Nein,cdu,Martin Maria Otto,1
